----------------------------------------------------------------------------------------------------------------- 
[Name(S)]		 [ParamNo(S)]		 [Index(H)]		 [SubIndex(I)]		 [DataLength(I)]		 [SetVal(I)]		 [GetVal(I)]		 [Check] 
----------------------------------------------------------------------------------------------------------------- 
[               CommandPolarity]	[ 0.02D2]	[0x2002]	[ 3]	[ 0]	[ 0]	[ 0]	OK 
[               ACLineLossCheck]	[ 0.02D3]	[0x2002]	[ 4]	[ 0]	[ 1]	[ 1]	OK 
[                  InertiaRatio]	[   0.04]	[0x2004]	[ 0]	[ 2]	[869]	[869]	OK 
[          EncoderBackupBattery]	[ 0.05D0]	[0x2005]	[ 1]	[ 0]	[ 1]	[ 1]	OK 
[                       AliasID]	[   0.33]	[0x2021]	[ 0]	[ 2]	[ 3]	[ 3]	OK 
[                    SystemGain]	[   1.01]	[0x2101]	[ 0]	[ 2]	[64]	[64]	OK 
[     1stVelocityRegulatorPGain]	[   1.02]	[0x2102]	[ 0]	[ 2]	[1378]	[1378]	OK 
[     1stVelocityRegulatorIGain]	[   1.03]	[0x2103]	[ 0]	[ 2]	[996]	[996]	OK 
[    1stPositionRegulatorKpGain]	[   1.07]	[0x2107]	[ 0]	[ 2]	[100]	[100]	OK 
[                    TuningMode]	[ 1.23D0]	[0x2117]	[ 1]	[ 0]	[ 0]	[ 0]	OK 
[           MovingAverageFilter]	[   3.04]	[0x2304]	[ 0]	[ 2]	[320]	[320]	OK 
[         EncoderOutputRatio(1)]	[   3.05]	[0x2305]	[ 0]	[ 4]	[4194304]	[4194304]	OK 
[         EncoderOutputRatio(2)]	[   3.06]	[0x2306]	[ 0]	[ 4]	[8192]	[8192]	OK 
[               1stGearRatio(1)]	[   3.11]	[0x230b]	[ 0]	[ 4]	[8192]	[8192]	OK 
[               1stGearRatio(2)]	[   3.12]	[0x230c]	[ 0]	[ 4]	[4194304]	[4194304]	OK 
[                Inpositionsize]	[   3.18]	[0x2312]	[ 0]	[ 4]	[60]	[60]	OK 
[           FollowingErrorLimit]	[   3.20]	[0x2314]	[ 0]	[ 4]	[655360]	[655360]	OK 
[ 1stCurrentCommandLPFBandwidth]	[   4.02]	[0x2402]	[ 0]	[ 2]	[640]	[640]	OK 
[1stResonantFrequencySuppressionFilter]	[   4.13]	[0x240d]	[ 0]	[ 2]	[10000]	[10000]	OK 
[1stResonantFrequencySuppressionFilterWidth]	[   4.14]	[0x240e]	[ 0]	[ 0]	[10]	[10]	OK 
[1stResonantFrequencySuppressionFilterDepth]	[   4.15]	[0x240f]	[ 0]	[ 0]	[100]	[100]	OK 
[2stResonantFrequencySuppressionFilter]	[   4.16]	[0x2410]	[ 0]	[ 2]	[10000]	[10000]	OK 
[2stResonantFrequencySuppressionFilterWidth]	[   4.17]	[0x2411]	[ 0]	[ 0]	[10]	[10]	OK 
[2stResonantFrequencySuppressionFilterDepth]	[   4.18]	[0x2412]	[ 0]	[ 0]	[100]	[100]	OK 
[3stResonantFrequencySuppressionFilter]	[   4.19]	[0x2413]	[ 0]	[ 2]	[10000]	[10000]	OK 
[3stResonantFrequencySuppressionFilterWidth]	[   4.20]	[0x2414]	[ 0]	[ 0]	[10]	[10]	OK 
[3stResonantFrequencySuppressionFilterDepth]	[   4.21]	[0x2415]	[ 0]	[ 0]	[100]	[100]	OK 
[4thResonantFrequencySuppressionFilter]	[   4.29]	[0x241d]	[ 0]	[ 2]	[10000]	[10000]	OK 
[4thResonantFrequencySuppressionFilterWidth]	[   4.30]	[0x241e]	[ 0]	[ 0]	[10]	[10]	OK 
[4thResonantFrequencySuppressionFilterDepth]	[   4.31]	[0x241f]	[ 0]	[ 0]	[100]	[100]	OK 
[5thResonantFrequencySuppressionFilter]	[   4.32]	[0x2420]	[ 0]	[ 2]	[10000]	[10000]	OK 
[5thResonantFrequencySuppressionFilterWidth]	[   4.33]	[0x2421]	[ 0]	[ 0]	[10]	[10]	OK 
[5thResonantFrequencySuppressionFilterDepth]	[   4.34]	[0x2422]	[ 0]	[ 0]	[100]	[100]	OK 
[               DDCinterLocking]	[ 4.38D0]	[0x2426]	[ 1]	[ 0]	[ 1]	[ 1]	OK 
[ SlideSurfaceSlopeInterlocking]	[ 4.38D1]	[0x2426]	[ 2]	[ 0]	[ 0]	[ 0]	OK 
[    OuterLoopPGainInterlocking]	[ 4.38D2]	[0x2426]	[ 3]	[ 0]	[ 0]	[ 0]	OK 
[            BrakeInactiveDelay]	[   5.00]	[0x2500]	[ 0]	[ 2]	[ 0]	[ 0]	OK 
[                  DisableDelay]	[   5.01]	[0x2501]	[ 0]	[ 2]	[500]	[500]	OK 
[              BrakeActiveDelay]	[   5.02]	[0x2502]	[ 0]	[ 2]	[500]	[500]	OK 
[         PWMSwitchingFrequency]	[   5.30]	[0x251e]	[ 0]	[ 2]	[ 0]	[ 0]	OK 
-----------------------------------------------------------------------------------------------------------------
